_id,_type,project_id,user_id,amount
4d801c834bc13c7736000003,ProjectRate,4d76ee514bc13c78ea00002b,4d70786b4bc13c767a000003,15
4d801c8e4bc13c7736000009,ProjectRate,4d76ee514bc13c78ea00002b,4d76eec24bc13c78ea000035,15
4d824654ead1cc5715000009,ProjectRate,4d76ee514bc13c78ea00002b,4d7abf8a4bc13c7b3600000c,15
4d97444bead1cc69f7000008,ProjectRate,4d76ee514bc13c78ea00002b,4d974436ead1cc69f7000005,10
4dab39e4ead1cc5e4100013b,ProjectRate,4d76ee514bc13c78ea00002b,4dab380fead1cc5e41000137,15
4df98137cb5dc721a70000d5,ProjectRate,4df98130cb5dc721a70000d3,4d76eec24bc13c78ea000035,15
4e0d2f95cb5dc721a70001ff,ProjectRate,4e0d2ed3cb5dc721a70001eb,4d707b1d4bc13c7795000004,30
4e16ff74cb5dc721a7000329,ProjectRate,4e16ff6acb5dc721a7000327,4d76eec24bc13c78ea000035,15
4ec3de0acb5dc71c0d00007c,ProjectRate,4d82256aead1cc4d08000009,4d707b1d4bc13c7795000004,40
4f82ffafcb5dc746ac000094,ProjectRate,4d76ee514bc13c78ea00002b,4f3bf99fcb5dc76bb200003d,15
500b6eeccb5dc77c9a00009d,ProjectRate,500b6ee4cb5dc77c9a00009b,500b6e8fcb5dc77c9a000099,30
50131f56cb5dc7106d000073,ProjectRate,50131f51cb5dc7106d000071,4d707b1d4bc13c7795000004,45
50131f5acb5dc7106d000076,ProjectRate,50131f51cb5dc7106d000071,4d70786b4bc13c767a000003,25
501ac30bcb5dc70e85000004,ProjectRate,501ac303cb5dc70e85000002,4dab380fead1cc5e41000137,15
502976fbcb5dc70a1500004b,ProjectRate,500b6ee4cb5dc77c9a00009b,50003eb3cb5dc73451000025,25
5029a9b4cb5dc77a95000128,ProjectRate,500b6ee4cb5dc77c9a00009b,4d974436ead1cc69f7000005,10
504f6334cb5dc721e60002f5,ProjectRate,500b6ee4cb5dc77c9a00009b,504f631ccb5dc721e60002f3,15
50aab828cb5dc72bff0001cd,ProjectRate,500b6ee4cb5dc77c9a00009b,50aa51d9cb5dc72bff0001af,15
50afddbbcb5dc72bff00029a,ProjectRate,500b6ee4cb5dc77c9a00009b,50afddaacb5dc72bff000298,15
50d31ddfcb5dc72bff0008e6,ProjectRate,4d82256aead1cc4d08000009,50003eb3cb5dc73451000025,38.9
50e44be0cb5dc75683000180,ProjectRate,500b6ee4cb5dc77c9a00009b,4d707b1d4bc13c7795000004,25
50f82fa4cb5dc75683000397,ProjectRate,500b6ee4cb5dc77c9a00009b,50f82f51cb5dc75683000394,15
5132396c60df1f0002000003,ProjectRate,500b6ee4cb5dc77c9a00009b,5131520b82b46d0002000003,15
51369e2bdec8b80002000004,ProjectRate,500b6ee4cb5dc77c9a00009b,51368f77dec8b80002000002,17
515c86be1c35c80002000003,ProjectRate,500b6ee4cb5dc77c9a00009b,50aa8441cb5dc72bff0001bf,17
51818464d3ec3f0002000013,ProjectRate,500b6ee4cb5dc77c9a00009b,516d7096f744e00002000002,23.11
5187c556f0e5a60002000007,ProjectRate,500b6ee4cb5dc77c9a00009b,5187bf4bf0e5a60002000004,15
5194f5ec86e0d50002000011,ProjectRate,500b6ee4cb5dc77c9a00009b,5194f5bd86e0d5000200000f,15
51d2f3ac98a3e800020000b7,ProjectRate,500b6ee4cb5dc77c9a00009b,51c108955c5a2f0002000002,18
51fd1760e3ed830002000003,ProjectRate,500b6ee4cb5dc77c9a00009b,51ba0b0ed6e5380002000007,13
527ab702b3541b0002000002,ProjectRate,501ac303cb5dc70e85000002,5194f5bd86e0d5000200000f,15
529ca04f022dff0002000004,ProjectRate,529ca02a022dff0002000002,51c108955c5a2f0002000002,13.09
529ca057022dff0002000007,ProjectRate,529ca02a022dff0002000002,5194f5bd86e0d5000200000f,11.55
5311fb24f1ebe40002000005,ProjectRate,5311fb12f1ebe40002000002,50aa8441cb5dc72bff0001bf,17
5311fb3af1ebe40002000008,ProjectRate,5311fb12f1ebe40002000002,4d70786b4bc13c767a000003,25
5311fb4ef1ebe4000200000b,ProjectRate,5311fb12f1ebe40002000002,5187bf4bf0e5a60002000004,15
5311fb59f1ebe40002000012,ProjectRate,5311fb12f1ebe40002000002,5194f5bd86e0d5000200000f,15
5311fb61f1ebe40002000015,ProjectRate,5311fb12f1ebe40002000002,5131520b82b46d0002000003,15
5331fec0cbcd1e0002000004,ProjectRate,500b6ee4cb5dc77c9a00009b,532cc578620f2e000200000d,15
5331ff5acbcd1e000200000e,ProjectRate,500b6ee4cb5dc77c9a00009b,5331f73acbcd1e0002000002,17
533ec24cef6a450002000003,ProjectRate,529ca02a022dff0002000002,5317be67b645b50002000003,11.55
533ec255ef6a450002000007,ProjectRate,529ca02a022dff0002000002,5331f73acbcd1e0002000002,13.09
5361a68943e6230002000042,ProjectRate,501ac303cb5dc70e85000002,50aa8441cb5dc72bff0001bf,17
5361a68f43e6230002000045,ProjectRate,501ac303cb5dc70e85000002,5131520b82b46d0002000003,15
54b421e9c2bd270002000006,ProjectRate,500b6ee4cb5dc77c9a00009b,54b4210bc2bd270002000003,15
54c98976388b370003000004,ProjectRate,501ac303cb5dc70e85000002,5317be67b645b50002000003,17
54d12d0f507fbb0003000010,ProjectRate,501ac303cb5dc70e85000002,5187bf4bf0e5a60002000004,15
54f6458af710c20003000007,ProjectRate,500b6ee4cb5dc77c9a00009b,4d70786b4bc13c767a000003,35
54f6459cf710c2000300000c,ProjectRate,501ac303cb5dc70e85000002,4d70786b4bc13c767a000003,35
5593ff95a310ad0003000020,ProjectRate,500b6ee4cb5dc77c9a00009b,556dce1e16916a0003000009,15
5593ffa8a310ad0003000027,ProjectRate,529ca02a022dff0002000002,556dce1e16916a0003000009,11.55
559419c8a310ad0003000051,ProjectRate,500b6ee4cb5dc77c9a00009b,556cf4fe2a686f0003000002,33.33
